features,layers,momentum,mean_score,std_score
1,2,0,0.62901921,0.17031723
1,2,0.3,0.71502804,0.001234936
1,2,0.1,0.711570218,0.008112864
1,2,0.5,0.712264646,0.0035988
1,2,0.9,0.713297936,0.003822674
1,3,0,0.710545281,0.013908739
1,3,0.3,0.71502804,0.001234936
1,3,0.1,0.713993557,0.002992533
1,3,0.5,0.714682019,0.001322125
1,3,0.9,0.71502804,0.001234936
1,5,0,0.707093426,0.018618727
1,5,0.3,0.714682019,0.001322125
1,5,0.1,0.71502804,0.001234936
1,5,0.5,0.714338384,0.002740264
1,5,0.9,0.71502804,0.001234936
1,8,0,0.714335998,0.002031282
1,8,0.3,0.714335998,0.002031282
1,8,0.1,0.711913853,0.00900649
1,8,0.5,0.71502804,0.001234936
1,8,0.9,0.714682019,0.001322125
1,10,0,0.714335998,0.002031282
1,10,0.3,0.71502804,0.001234936
1,10,0.1,0.713993557,0.002992533
1,10,0.5,0.714683212,0.001856583
1,10,0.9,0.71502804,0.001234936
2,2,0,0.617984727,0.168245793
2,2,0.3,0.713300322,0.003634765
2,2,0.1,0.704326453,0.0127232
2,2,0.5,0.712264646,0.005662046
2,2,0.9,0.714682019,0.001322125
2,3,0,0.667290299,0.12837445
2,3,0.3,0.710189715,0.00698392
2,3,0.1,0.711233743,0.00862936
2,3,0.5,0.714683212,0.001856583
2,3,0.9,0.713643957,0.002857256
2,5,0,0.710536929,0.007295304
2,5,0.3,0.710183749,0.008016984
2,5,0.1,0.709510798,0.009452478
2,5,0.5,0.714337191,0.001852353
2,5,0.9,0.71502804,0.001234936
2,8,0,0.711577377,0.004303473
2,8,0.3,0.713646343,0.00260018
2,8,0.1,0.714683212,0.001856583
2,8,0.5,0.713643957,0.001837034
2,8,0.9,0.71502804,0.001234936
2,10,0,0.710539315,0.006500376
2,10,0.3,0.711922205,0.005535982
2,10,0.1,0.714682019,0.001322125
2,10,0.5,0.713643957,0.001837034
2,10,0.9,0.712959074,0.004874179
3,2,0,0.709854433,0.014835125
3,2,0.3,0.711231357,0.00884508
3,2,0.1,0.712614247,0.005160495
3,2,0.5,0.711234936,0.008308948
3,2,0.9,0.713299129,0.002595496
3,3,0,0.708476315,0.020100567
3,3,0.3,0.711916239,0.004457965
3,3,0.1,0.707438253,0.01456154
3,3,0.5,0.71122897,0.006984071
3,3,0.9,0.71502804,0.001234936
