features,layers,momentum,mean_score,std_score,time
10,10,0,0.71123255,0.005897011,1743
10,10,0.1,0.714683212,0.001856583,1798
10,10,0.2,0.712608281,0.007174342,2038
10,10,0.3,0.712607087,0.00375879,1617
10,10,0.4,0.71502804,0.001234936,1420
10,10,0.5,0.715029233,0.002370177,1212
10,10,0.6,0.709503639,0.009790003,1168
10,10,0.7,0.713297936,0.003822674,959
10,10,0.8,0.713993557,0.002564593,1039
10,10,0.9,0.71502804,0.001234936,602
10,10,0,0.713300322,0.002458491,2019
10,10,0.1,0.706041045,0.012778623,2211
10,10,0.2,0.712608281,0.00332312,1977
10,10,0.3,0.71019926,0.013804844,1820
10,10,0.4,0.709165971,0.010547388,1121
10,10,0.5,0.707070755,0.016463849,1325
10,10,0.6,0.714337191,0.001852353,1302
10,10,0.7,0.714683212,0.001856583,1001
10,10,0.8,0.713299129,0.004039186,1119
10,10,0.9,0.71502804,0.001234936,832
10,10,0,0.710190908,0.00620578,2222
10,10,0.1,0.708133874,0.019277474,1230
10,10,0.2,0.708127908,0.017895312,1186
10,10,0.3,0.709847274,0.006942989,1611
10,10,0.4,0.713648729,0.004942912,1538
10,10,0.5,0.712855626,0.008894047,1042
10,10,0.6,0.714337191,0.001852353,1077
10,10,0.7,0.714682019,0.001322125,960
10,10,0.8,0.71502804,0.001234936,1090
10,10,0.9,0.714683212,0.001856583,691
