features,layers,momentum,mean_score,std_score
1,2,0,0.710200453,0.014939842
1,2,0.3,0.703955375,0.029483576
1,2,0.1,0.709502446,0.010643766
1,2,0.5,0.694643837,0.029166367
1,2,0.9,0.712268226,0.007647019
1,3,0,0.700865052,0.026656707
1,3,0.3,0.713648729,0.004696196
1,3,0.1,0.703974466,0.016515388
1,3,0.5,0.688438134,0.041972434
1,3,0.9,0.714682019,0.001322125
1,5,0,0.706044625,0.014199648
1,5,0.3,0.711924591,0.009791461
1,5,0.1,0.703989977,0.025884271
1,5,0.5,0.704309748,0.022047783
1,5,0.9,0.71202804,0.001234936
1,8,0,0.709510798,0.011802113
1,8,0.3,0.705364515,0.01643265
1,8,0.1,0.712269419,0.008765181
1,8,0.5,0.706740246,0.015379662
1,8,0.9,0.71502804,0.001234936
1,10,0,0.708107624,0.020382881
1,10,0.3,0.706038659,0.017968092
1,10,0.1,0.714335998,0.002031282
1,10,0.5,0.712614247,0.006756898
1,10,0.9,0.71402804,0.001234936
2,2,0,0.650044147,0.108669136
2,2,0.3,0.709503639,0.005620091
2,2,0.1,0.70085312,0.017808394
2,2,0.5,0.698813984,0.023551782
2,2,0.9,0.714682019,0.001322125
2,3,0,0.672150101,0.093286029
2,3,0.3,0.703622479,0.016041043
2,3,0.1,0.699825796,0.019137893
2,3,0.5,0.68328839,0.053103536
2,3,0.9,0.709145687,0.017274695
2,5,0,0.691226584,0.047524721
2,5,0.3,0.70223959,0.020349477
2,5,0.1,0.7067307,0.011832943
2,5,0.5,0.709852046,0.012633356
2,5,0.9,0.714338384,0.002265154
2,8,0,0.711234936,0.006364052
2,8,0.3,0.705702184,0.013822816
2,8,0.1,0.708125522,0.015667992
2,8,0.5,0.711574991,0.005850741
2,8,0.9,0.71502804,0.001234936
2,10,0,0.714338384,0.002740264
2,10,0.3,0.709854433,0.010633225
2,10,0.1,0.707439446,0.014373718
2,10,0.5,0.709855626,0.011041298
2,10,0.9,0.71432804,0.001234936
3,2,0,0.683918387,0.036939745
3,2,0.3,0.690137215,0.040946261
