features,layers,momentum,mean_score,std_score,time
1,2,0.0,0.6262582030783916,0.17081379896800783,3287
1,2,0.3,0.7146832120272043,0.001856583427624347,1993
1,2,0.1,0.7150280396134112,0.0012349361651354251,1394
1,2,0.5,0.7143383844409974,0.0027402638324194807,1822
1,2,0.9,0.7136487292685836,0.003541436981918358,780
1,3,0.0,0.6676375134232192,0.12860073669161498,2205
1,3,0.3,0.7143383844409974,0.0022651544289696442,1598
1,3,0.1,0.7143383844409974,0.0027402638324194807,1755
1,3,0.5,0.7115797637513422,0.00978029829307378,2054
1,3,0.9,0.7139935568547905,0.003702904113607343,1115
1,5,0.0,0.712269418923756,0.005625308598474339,2588
1,5,0.3,0.712957880921131,0.004696234488819311,2906
1,5,0.1,0.7146832120272043,0.001856583427624347,1693
1,5,0.5,0.7143383844409974,0.0027402638324194807,1563
1,5,0.9,0.7139935568547905,0.0029925334260788427,1197
1,8,0.0,0.7143383844409974,0.0022651544289696442,1193
1,8,0.3,0.7146820188521655,0.001322124628382947,1012
1,8,0.1,0.7150280396134112,0.0012349361651354251,1290
1,8,0.5,0.7143383844409974,0.0027402638324194807,1044
1,8,0.9,0.7150280396134112,0.0012349361651354251,883
1,10,0.0,0.7105440878176827,0.012775242229475216,2230
1,10,0.3,0.7143383844409974,0.0022651544289696442,2370
1,10,0.1,0.7143383844409974,0.0027402638324194807,2811
1,10,0.5,0.7150280396134112,0.0012349361651354251,1962
1,10,0.9,0.7146832120272043,0.0018565834276243471,660
2,2,0.0,0.5794069920057272,0.18567693979891922,1903
2,2,0.3,0.7091611979477388,0.01010544142783186,3293
2,2,0.1,0.7139935568547905,0.0029925334260788427,1612
2,2,0.5,0.7143383844409974,0.0027402638324194807,1909
2,2,0.9,0.7129554945710536,0.003733874618804766,857
2,3,0.0,0.7064073499582387,0.019189559315082382,1397
2,3,0.3,0.7129519150459371,0.004818392570586132,2519
2,3,0.1,0.710881756353657,0.005928797801162619,2935
2,3,0.5,0.7105452809927215,0.012841945999908446,3329
2,3,0.9,0.7146832120272043,0.0018565834276243471,1016
2,5,0.0,0.7143371912659586,0.001852353426587672,1031
2,5,0.3,0.7067521775444457,0.0163519878483681,1584
2,5,0.1,0.7129566877460923,0.003951184142875247,2177
